VariableName,VariableLabel,Question,TopicValue,KeywordValue,VariableGroupValue
Y11_Q39c,As much time as would like on own hobbies/interests?,Do you spend as much time as you would like? - Own hobbies/interests,Society and culture - Social indicators and quality of life,Hobbies,Employment and Work-Life Balance
Y11_Q39d,As much time as would like on voluntary work?,Do you spend as much time as you would like? - Voluntary work,Society and culture - Social indicators and quality of life,Voluntary work,Employment and Work-Life Balance
Y11_Strainbasedconflict,Work-life balance conflict?,Work-life balance conflict,Society and culture - Social indicators and quality of life,Work-life balance,Derived Variables
Y11_Q7a,Worked at an additional paid job last 4 weeks?,Have you also worked at an additional paid job during the past four weeks?,Employment and labour - General,Employment,Employment and Work-Life Balance
Y11_Q7b,How many hours per week worked in the additional job?,About how many hours per week did you work in this additional job?,Employment and labour - General,Employment,Employment and Work-Life Balance
DV_Q7,DV: Total number of working hours,DV: The total number of working hours,Employment and labour - General,Employment,Derived Variables
DV_Q67,DV: Citizenship,DV: What is your citizenship?,Social stratification and groupings - General,Citizenship,Derived Variables
DV_Q43Q44,DV: Any limiting/not limiting chronic health problem?,DV: Any chronic physical or mental health problem that may or may not limit your daily activities?,Health - Specific diseases and medical conditions,Debilitative illness,Derived Variables
DV_Q54a,DV: Anyone used/would have like to use child care last 12 months?,"DV: Have you, or someone close to you, used or would have liked to use child care services in the last 12 months?",Society and culture - Social attitudes and behaviour,Child care,Derived Variables
DV_Q54b,DV: Anyone used/would have like to use long term care last 12 months?,"DV: Have you, or someone close to you, used or would have liked to use long term care services in the last 12 months?",Society and culture - Social attitudes and behaviour,Public services,Derived Variables
DV_Q55,DV: No. of factors which made it difficult to use child care?,DV: How many factors made it difficult for you to use childcare services?,Society and culture - Social attitudes and behaviour,Child care,Derived Variables
DV_Q56,DV: No. of factors which made it difficult to use long term care?,DV: How many factors made it difficult for you to use long term care services?,Society and culture - Social attitudes and behaviour,Public services,Derived Variables
DV_Q8,DV: Preferred working hours (3 groups),"DV: Would you prefer to work less, more or the same number of hours per week (3 categories)?",Employment and labour - General,Employment,Derived Variables
DV_Q10,DV: Preferred working hours of respondent's partner? (3 groups),"DV: Would you prefer your partner to work less, more or the same number of hours per week (3 categories)?",Employment and labour - General,Employment,Derived Variables
ISO3166_Country,ISO3166_Country URL,ISO3166_Country URL,Geographies,,Household Grid and Country
RowID,RowID for the UK Data service Public API,,,,
URIRowID,Root URI for a row (respondent) that displays all data values for a single row via the UK Data Service Public API,,,,
UniqueID,Unique respondent ID,,,,Administrative Variables
